gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222,tol_24,tol_15
女,16～18歲,ee,三至四小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,scewyn,scewny,scenwy,csewny,csenwy,scenwy
男,22～28歲,ed,三至四小時,半小時以下,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,ecswyn,ecswny,ecsnwy,ceswny,censwy,ecnswy
女,19～22歲,lb,三至四小時,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,working,csynew,csnyew,csyenw,csnyew,csenwy,censwy
女,19～22歲,bi,三至四小時,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,nwscey,nwcsey,nswcey,nwcsey,nwcesy,nceswy
女,29歲以上,ee,五小時以上,半至一小時,三小時以上,一至二小時,半至一小時,半小時以下,半至一小時,最先看,最後看,中,wakingup,ncswye,ncswey,ncsewy,cnswey,cneswy,nceswy
男,19～22歲,oe,二至三小時,半至一小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,最後看,中,最先看,resting,ynwesc,ynewcs,ynwces,nyewcs,nycesw,ycensw
男,29歲以上,sc,五小時以上,一至二小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,csnywe,csnyew,cnsewy,csnyew,csenwy,censwy
女,29歲以上,lb,三至四小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,ncsewy,nceswy,ncsewy,cneswy,cneswy,nceswy
男,16～18歲,sc,三至四小時,半至一小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,nywesc,nyewcs,nwyces,nyewcs,nycesw,nceswy
女,19～22歲,lb,三至四小時,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,wakingup,csywne,cswyen,csyenw,cswyen,csenwy,censwy
女,19～22歲,cs,五小時以上,一至二小時,半至一小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,cwseyn,cwesny,csweny,cwesny,cwensy,censwy
男,19～22歲,cs,三至四小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,cwnsey,cwnsey,cnwesy,cwnsey,cwensy,censwy
男,19～22歲,mg,三至四小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,csewyn,csewny,cesnwy,csewny,csenwy,censwy
女,19～22歲,cs,三至四小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncwsye,ncswey,ncwesy,cnswey,cneswy,nceswy
女,19～22歲,ee,二至三小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
女,19～22歲,cs,五小時以上,三小時以上,三小時以上,三小時以上,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,csnwye,csnwey,cnsewy,csnwey,csenwy,censwy
男,19～22歲,cs,五小時以上,,,,,,,最先看,中,最後看,resting,ceswny,ceswny,cesnwy,ceswny,censwy,censwy
男,22～28歲,oe,二至三小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,cwnesy,cwensy,cnwesy,cwensy,cwensy,censwy
女,29歲以上,lb,三至四小時,一至二小時,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,最先看,中,最後看,working,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
女,29歲以上,mg,五小時以上,半至一小時,一至二小時,半至一小時,半至一小時,半至一小時,一至二小時,最先看,中,最後看,wakingup,cnewsy,cnewsy,censwy,cnewsy,cneswy,censwy
女,19～22歲,bi,三至四小時,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cnswye,cnswey,cnsewy,cnswey,cneswy,censwy
男,19～22歲,ee,五小時以上,二至三小時,半至一小時,一至二小時,半至一小時,半小時以下,半小時以下,中,最先看,最後看,commuting,cnswey,cnswey,cnsewy,cnswey,cneswy,censwy
男,19～22歲,oe,一小時以下,半小時以下,一至二小時,二至三小時,三小時以上,一至二小時,半至一小時,最後看,中,最先看,wakingup,csewyn,csewny,cesnwy,csewny,csenwy,censwy
女,19～22歲,mg,五小時以上,一至二小時,一至二小時,三小時以上,半小時以下,半小時以下,半至一小時,最先看,中,最後看,commuting,csnwey,csnwey,cnsewy,csnwey,csenwy,censwy
女,29歲以上,cs,五小時以上,一至二小時,二至三小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,csnewy,csenwy,cnsewy,csenwy,csenwy,censwy
男,19～22歲,cs,二至三小時,半至一小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncwsye,ncswey,ncwesy,cnswey,cneswy,nceswy
女,15歲以下,ot,一小時以下,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,最後看,中,最先看,commuting,csweny,csewny,csweny,csewny,csenwy,censwy
女,19～22歲,cs,三至四小時,一至二小時,一至二小時,三小時以上,半至一小時,半小時以下,半小時以下,最先看,最後看,中,wakingup,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
女,16～18歲,ee,三至四小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,scewyn,scewny,scenwy,csewny,csenwy,scenwy
男,19～22歲,ee,五小時以上,二至三小時,半至一小時,一至二小時,半至一小時,半小時以下,半小時以下,中,最先看,最後看,wakingup,scwnye,scnwey,scweny,csnwey,csenwy,scenwy
女,19～22歲,mg,一至二小時,半小時以下,半至一小時,半小時以下,半至一小時,半小時以下,半小時以下,最後看,中,最先看,commuting,wcsnye,wcnsey,wcseny,cwnsey,cwensy,wcensy
女,29歲以上,mg,三至四小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,necswy,necswy,nceswy,encswy,encswy,nceswy
男,19～22歲,cs,五小時以上,二至三小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,csenwy,csenwy,cesnwy,csenwy,csenwy,censwy
男,16～18歲,mg,三至四小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最後看,中,最先看,resting,yncwes,yncwes,ycnesw,nycwes,nycesw,ycensw
男,22～28歲,bi,五小時以上,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,resting,csweyn,csewny,csweny,csewny,csenwy,censwy
女,19～22歲,oe,五小時以上,一至二小時,一至二小時,三小時以上,半至一小時,半小時以下,半小時以下,最先看,中,最後看,working,ncwsye,ncswey,ncwesy,cnswey,cneswy,nceswy
男,19～22歲,oe,二至三小時,半小時以下,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
男,22～28歲,sc,三至四小時,一至二小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,ecsnyw,ecnswy,ecsnwy,censwy,censwy,ecnswy
男,16～18歲,ee,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,nwcyse,nwcyes,ncwesy,nwcyes,nwcesy,nceswy
男,19～22歲,ot,二至三小時,半至一小時,一至二小時,半至一小時,半至一小時,半小時以下,半至一小時,中,最先看,最後看,working,secywn,secynw,scenwy,escynw,escnwy,scenwy
男,22～28歲,cs,五小時以上,半至一小時,半至一小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,csnywe,csnyew,cnsewy,csnyew,csenwy,censwy
男,29歲以上,oe,一至二小時,半小時以下,半至一小時,半小時以下,半小時以下,半小時以下,半至一小時,最先看,中,最後看,working,nscwey,nscwey,ncsewy,nscwey,nscewy,nceswy
女,19～22歲,cs,三至四小時,一至二小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,csnwey,csnwey,cnsewy,csnwey,csenwy,censwy
女,16～18歲,ee,三至四小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,scewyn,scewny,scenwy,csewny,csenwy,scenwy
男,19～22歲,ee,三至四小時,一至二小時,二至三小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,csewyn,csewny,cesnwy,csewny,csenwy,censwy
女,19～22歲,cs,三至四小時,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cwsnye,cwnsey,csweny,cwnsey,cwensy,censwy
女,19～22歲,cs,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,scewny,scewny,scenwy,csewny,csenwy,scenwy
男,19～22歲,cs,三至四小時,半至一小時,半小時以下,一至二小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,commuting,csenwy,csenwy,cesnwy,csenwy,csenwy,censwy
女,19～22歲,mg,三至四小時,一至二小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,中,最先看,最後看,resting,ncsewy,nceswy,ncsewy,cneswy,cneswy,nceswy
女,19～22歲,bi,五小時以上,三小時以上,三小時以上,一至二小時,一至二小時,半小時以下,半小時以下,最先看,最後看,中,wakingup,ncswey,ncswey,ncsewy,cnswey,cneswy,nceswy
女,19～22歲,lb,二至三小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,nscwey,nscwey,ncsewy,nscwey,nscewy,nceswy
男,19～22歲,sc,二至三小時,半至一小時,半小時以下,一至二小時,半至一小時,半小時以下,半小時以下,最後看,中,最先看,commuting,cwnyse,cwnyes,cnwesy,cwnyes,cwensy,censwy
女,19～22歲,ed,五小時以上,三小時以上,三小時以上,三小時以上,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,cseynw,cseynw,cesnwy,cseynw,csenwy,censwy
男,22～28歲,oe,三至四小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,cwnsey,cwnsey,cnwesy,cwnsey,cwensy,censwy
男,19～22歲,cs,三至四小時,一至二小時,半至一小時,半至一小時,半至一小時,半小時以下,半至一小時,最先看,中,最後看,resting,cswney,csnwey,csweny,csnwey,csenwy,censwy
女,19～22歲,oe,五小時以上,一至二小時,一至二小時,三小時以上,半至一小時,半小時以下,半小時以下,最先看,中,最後看,resting,ncswye,ncswey,ncsewy,cnswey,cneswy,nceswy
女,19～22歲,cs,三至四小時,一至二小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,ncswye,ncswey,ncsewy,cnswey,cneswy,nceswy
男,19～22歲,cs,三至四小時,一至二小時,半至一小時,半至一小時,半至一小時,半小時以下,半至一小時,最先看,中,最後看,wakingup,ncswey,ncswey,ncsewy,cnswey,cneswy,nceswy
女,19～22歲,lb,二至三小時,半至一小時,半小時以下,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,cwnsey,cwnsey,cnwesy,cwnsey,cwensy,censwy
男,22～28歲,bi,五小時以上,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncswye,ncswey,ncsewy,cnswey,cneswy,nceswy
女,19～22歲,ed,三至四小時,一至二小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,csnewy,csenwy,cnsewy,csenwy,csenwy,censwy
女,29歲以上,cs,五小時以上,一至二小時,二至三小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,csnewy,csenwy,cnsewy,csenwy,csenwy,censwy
女,29歲以上,bi,二至三小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,cswney,csnwey,csweny,csnwey,csenwy,censwy
女,19～22歲,cs,三至四小時,半小時以下,半小時以下,三小時以上,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,enscwy,encswy,enscwy,encswy,encswy,ecnswy
女,19～22歲,oe,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,cnwsey,cnswey,cnwesy,cnswey,cneswy,censwy
女,19～22歲,lb,二至三小時,半至一小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ncwsey,ncswey,ncwesy,cnswey,cneswy,nceswy
男,29歲以上,bi,二至三小時,半小時以下,半至一小時,一至二小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,working,ncwyse,ncwyes,ncwesy,cnwyes,cneswy,nceswy
男,22～28歲,mg,五小時以上,二至三小時,一至二小時,二至三小時,半至一小時,半至一小時,半至一小時,最先看,中,最後看,resting,scewny,scewny,scenwy,csewny,csenwy,scenwy
女,19～22歲,ee,二至三小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,scwney,scnwey,scweny,csnwey,csenwy,scenwy
男,19～22歲,cs,三至四小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,csenwy,csenwy,cesnwy,csenwy,csenwy,censwy
女,19～22歲,bi,三至四小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,scnewy,scenwy,scnewy,csenwy,csenwy,scenwy
男,19～22歲,cs,三至四小時,半至一小時,半小時以下,一至二小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,working,cnsewy,cneswy,cnsewy,cneswy,cneswy,censwy
女,15歲以下,ot,一小時以下,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,半小時以下,最後看,中,最先看,wakingup,csnwey,csnwey,cnsewy,csnwey,csenwy,censwy
